[2020-09-10 11:31:48,593][main][INFO][springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper:163] Found 1 custom documentation plugin(s)
[2020-09-10 11:31:48,651][main][INFO][springfox.documentation.spring.web.scanners.ApiListingReferenceScanner:41] Scanning for api listing references
[2020-09-10 11:31:48,844][main][INFO][org.springframework.data.repository.config.DeferredRepositoryInitializationListener:49] Triggering deferred initialization of Spring Data repositories…
[2020-09-10 11:31:48,846][main][INFO][org.springframework.data.repository.config.DeferredRepositoryInitializationListener:53] Spring Data repositories initialized!
[2020-09-10 11:31:48,860][main][INFO][com.example.scthread.service.impl.CompletedFutureImplTest:61] Started CompletedFutureImplTest in 11.193 seconds (JVM running for 14.33)
[2020-09-10 11:31:48,984][sc-thread-async-2][INFO][com.example.scthread.service.impl.CompletedFutureImplTest:34] 当前线程 = sc-thread-async-2
[2020-09-10 11:31:48,984][main][INFO][com.example.scthread.service.impl.CompletedFutureImplTest:40] 等待...
[2020-09-10 11:32:03,989][main][INFO][com.example.scthread.service.impl.CompletedFutureImplTest:44] 结果 = MESSAGE
[2020-09-10 11:32:04,031][SpringContextShutdownHook][INFO][org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean:598] Closing JPA EntityManagerFactory for persistence unit 'default'
[2020-09-10 11:32:04,035][SpringContextShutdownHook][INFO][org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor:218] Shutting down ExecutorService 'taskExecutor'
[2020-09-10 11:32:04,036][SpringContextShutdownHook][INFO][com.zaxxer.hikari.HikariDataSource:350] HikariPool-1 - Shutdown initiated...
[2020-09-10 11:32:04,058][SpringContextShutdownHook][INFO][com.zaxxer.hikari.HikariDataSource:352] HikariPool-1 - Shutdown completed.
